country,year,vaccine,method,population,urban_poor_vaccinated,urban_nonpoor_vaccinated,rural_vaccinated,total_vaccinated,overall_coverage,urban_poor_coverage,urban_nonpoor_coverage,rural_coverage
Global,2038,DTP3,historical_progress,132031090.49999999,33735768.5563971,47384060.28180811,43577664.664528936,124697493.50273415,94.44555296067495,93.17261759191067,99,90.86140459500099
Global,2038,DTP3,static,132031090.49999999,29465573.025752086,42437038.740475826,38061704.69535455,109964316.46158247,83.28668349640154,81.37904322723152,88.66413748253808,79.36037822410104
Global,2038,measles1,historical_progress,131441209.5,33193243.71528592,47172360.47112532,42876866.47288268,123242470.65929392,93.762428943027885,92.08566875389067,99,89.80141829539987
Global,2038,measles1,static,131441209.5,28842154.22324121,41539175.73775827,37256412.96245791,107637742.9234574,81.89040813981356,80.01474886670746,87.17771078161961,78.02992615479032
Global,2039,DTP1,historical_progress,132286807.99999999,34456559.212281756,47773687.92822365,43744807.6200559,125975054.7605613,95.22873570323151,94.38719919712939,99,92.04585764030223
Global,2039,DTP1,static,132286807.99999999,31573125.10293662,45472386.7742264,40084103.43826836,117129615.31543139,88.54217369537814,86.48857914125489,94.2310817078216,84.34316846844288
Global,2039,DTP3,historical_progress,132286807.99999999,34182926.66062375,47773687.92822365,43397413.57942872,125354028.16827612,94.75928103751367,93.6376347963126,99,91.3148867171612
Global,2039,DTP3,static,132286807.99999999,29707861.293157417,42785988.22743325,37716031.62887075,110209881.14946142,83.31131638572867,81.37904322723152,88.66413748253808,79.36037822410104
Global,2039,measles1,historical_progress,131732598.99999999,33657669.96906109,47573542.43969532,42730566.585740335,123961778.99449673,94.10106529098142,92.58668115225151,99,90.29000272515114
Global,2039,measles1,static,131732598.99999999,29087445.15406419,41892449.73398854,36928373.62501129,107908268.51306403,81.91462806640901,80.01474886670746,87.17771078161961,78.02992615479032
Global,2040,DTP1,historical_progress,132523766,34847444.98651945,48157650.11949686,43478042.599352166,126483137.70536847,95.44185282613269,94.69686777087789,99,92.34784466499822
Global,2040,DTP1,static,132523766,31826881.654410742,45837853.16431306,39709382.33521324,117374117.15393704,88.56835320687841,86.48857914125489,94.2310817078216,84.34316846844288
Global,2040,DTP3,historical_progress,132523766,34617717.491141655,48157650.11949686,43191418.95064156,125966786.56128007,95.05222373568833,94.07259031634597,99,91.73905285639835
Global,2040,DTP3,static,132523766,29946626.52177655,43129863.74778824,37363448.14158887,110439938.41115366,83.33594927505581,81.37904322723152,88.66413748253808,79.36037822410104
