country,year,vaccine,method,population,urban_poor_population,urban_nonpoor_population,rural_population,urban_poor_zero_dose,urban_nonpoor_zero_dose,rural_zero_dose,total_zero_dose,overall_zero_dose_percent
Global,2027,DTP1,historical_progress,128823061,32828021.08196205,43394977.68529375,52600062.23274422,3585634.4980328553,1279377.5155088513,6907499.379087219,11772511.392628927,9.138512391526643
Global,2027,DTP1,static,128823061,32828021.08196205,43394977.68529375,52600062.23274422,4435532.087981464,2503420.805573643,8235503.129274962,15174456.022830069,11.779300930312523
Global,2027,DTP3,historical_progress,128823061,32828021.08196205,43394977.68529375,52600062.23274422,4740136.856496229,2942120.0411424623,8711461.973842517,16393718.871481208,12.7257641172501
Global,2027,DTP3,static,128823061,32828021.08196205,43394977.68529375,52600062.23274422,6112891.615027477,4919195.009888176,10856453.898725882,21888540.523641534,16.99116629719079
Global,2027,measles1,historical_progress,128348160.5,32707002.038439754,43235004.02498587,52406154.436574385,5171471.569647162,3577659.766910716,9380632.116670854,18129763.453228734,14.125456401245994
Global,2027,measles1,static,128348160.5,32707002.038439754,43235004.02498587,52406154.436574385,6536576.495553294,5543717.259662091,11513670.829150021,23593964.584365405,18.382783588367367
Global,2028,DTP1,historical_progress,128989082.5,33103382.161567505,43758974.28061221,52126726.057820305,3425437.293605134,1016072.4202375431,6553155.645383385,10994665.359226063,8.523717779933866
Global,2028,DTP1,static,128989082.5,33103382.161567505,43758974.28061221,52126726.057820305,4472737.282328142,2524419.471743876,8161393.681789208,15158550.435861226,11.75180886790262
Global,2028,DTP3,historical_progress,128989082.5,33103382.161567505,43758974.28061221,52126726.057820305,4477236.204856943,2530898.929973942,8168302.245153647,15176437.379984532,11.765675889650995
Global,2028,DTP3,static,128989082.5,33103382.161567505,43758974.28061221,52126726.057820305,6164166.482629838,4960457.163501719,10758759.10249308,21883382.748624638,16.96529839928479
Global,2028,measles1,historical_progress,128476687.5,32971882.60227204,43585146.54890077,51919658.348827206,4908314.032772927,3167308.9070198652,8825130.613958139,16900753.553750932,13.154723929001463
Global,2028,measles1,static,128476687.5,32971882.60227204,43585146.54890077,51919658.348827206,6589513.541438458,5588613.546754995,11406787.27941791,23584914.367611364,18.357349357727927
Global,2029,DTP1,historical_progress,129182777.5,33386495.212989733,44133218.11694365,51663064.170066625,3271900.164935401,761441.9905771571,6218964.152628911,10252306.30814147,7.936279515387777
Global,2029,DTP1,static,129182777.5,33386495.212989733,44133218.11694365,51663064.170066625,4510989.8782118345,2546009.292875351,8088798.9211475765,15145798.09223476,11.724316805492714
Global,2029,DTP3,historical_progress,129182777.5,33386495.212989733,44133218.11694365,51663064.170066625,4226863.267524138,2136803.200924728,7660040.76939082,14023707.237839686,10.855709645846318
Global,2029,DTP3,static,129182777.5,33386495.212989733,44133218.11694365,51663064.170066625,6216884.841553236,5002880.930268326,10663061.042541727,21882826.81436329,16.939430501378787
Global,2029,measles1,historical_progress,128647818.5,33248238.345949963,43950457.97904042,51449122.17500962,4656960.50747381,2772600.544850884,8303767.318178918,15733328.370503612,12.229766935770941
Global,2029,measles1,static,128647818.5,33248238.345949963,43950457.97904042,51449122.17500962,6644743.930833769,5635454.834875303,11303410.134561764,23583608.900270835,18.331915127088482
Global,2030,DTP1,historical_progress,129441385,33687201.70841142,44530718.521432474,51223464.7701561,3125724.723894389,515332.10337022814,5905593.389329307,9546650.216593925,7.3752689038315875
Global,2030,DTP1,static,129441385,33687201.70841142,44530718.521432474,51223464.7701561,4551619.598357841,2568940.7664213898,8019971.58368985,15140531.94846908,11.696824743082809
Global,2030,DTP3,historical_progress,129441385,33687201.70841142,44530718.521432474,51223464.7701561,3989859.683536079,1759880.401387851,7186969.841670189,12936709.92659412,9.99426105228565
Global,2030,DTP3,static,129441385,33687201.70841142,44530718.521432474,51223464.7701561,6272879.268078616,5047941.029627535,10572329.389071073,21893149.686777223,16.91356260347278
Global,2030,measles1,historical_progress,128846439,33532366.638409562,44326043.850642666,50988028.51094777,4416602.4532164605,2392808.3555878005,7813922.1950937435,14623333.003898004,11.349427362829953
Global,2030,measles1,static,128846439,33532366.638409562,44326043.850642666,50988028.51094777,6701527.683622556,5683613.541595519,11202107.51607179,23587248.741289865,18.306480896449038
Global,2031,DTP1,historical_progress,129745750.5,33995410.97135288,44938136.74668438,50812202.781962745,2985666.4004509845,449381.3674668442,5612345.32454979,9047393.092467617,6.973171034582452
Global,2031,DTP1,static,129745750.5,33995410.97135288,44938136.74668438,50812202.781962745,4593263.048999499,2592444.3909436157,7955580.987045084,15141288.4269882,11.66996866459083
Global,2031,DTP3,historical_progress,129745750.5,33995410.97135288,44938136.74668438,50812202.781962745,3764529.786768329,1398882.483150822,6747617.946994291,11911030.216913443,9.180285420533634
Global,2031,DTP3,static,129745750.5,33995410.97135288,44938136.74668438,50812202.781962745,6330270.781700614,5094125.399513174,10487446.470199922,21911842.65141371,16.888293117094197
Global,2031,measles1,historical_progress,129109252,33828638.43347196,44717682.076517284,50562931.49001076,4187531.5622236356,2027835.1997436164,7358002.716829263,13573369.478796516,10.51308815482605
Global,2031,measles1,static,129109252,33828638.43347196,44717682.076517284,50562931.49001076,6760738.34590289,5733830.527606895,11108713.386658143,23603282.260167927,18.281635045153795
Global,2032,DTP1,historical_progress,130062358.5,34307923.9627438,45351244.02031242,50403190.516943775,2851258.731151572,453512.4402031246,5335280.4340829505,8640051.605437648,6.643007019927021
Global,2032,DTP1,static,130062358.5,34307923.9627438,45351244.02031242,50403190.516943775,4635487.994504579,2616276.212018263,7891542.6257676585,15143306.8322905,11.643112586098844
Global,2032,DTP3,historical_progress,130062358.5,34307923.9627438,45351244.02031242,50403190.516943775,3550188.7136436454,1053201.6508463654,6336636.215862808,10940026.580352819,8.411370289239233
Global,2032,DTP3,static,130062358.5,34307923.9627438,45351244.02031242,50403190.516943775,6388463.690736802,5140954.672101283,10403027.885682968,21932446.248521052,16.86302363071561
Global,2032,measles1,historical_progress,129417615,34137853.15033827,45126429.39957025,50153332.450091474,3969470.7414594623,1677187.400978503,6931142.947841712,12577801.090279678,9.718770578703431
Global,2032,measles1,static,129417615,34137853.15033827,45126429.39957025,50153332.450091474,6822535.683609721,5786241.291541134,11018724.175118607,23627501.150269464,18.256789193858552
Global,2033,DTP1,historical_progress,130369617.5,34619071.97891241,45762546.949135005,49987998.5719526,2721899.093989756,457625.46949135046,5072764.352216303,8252288.91569741,6.329917256754558
Global,2033,DTP1,static,130369617.5,34619071.97891241,45762546.949135005,49987998.5719526,4677528.5124627575,2640003.9419153747,7826536.722407794,15144069.176785925,11.616256507606863
Global,2033,DTP3,historical_progress,130369617.5,34619071.97891241,45762546.949135005,49987998.5719526,3345982.3242701525,722278.5637706144,5951552.091862767,10019812.979903534,7.685696385435459
Global,2033,DTP3,static,130369617.5,34619071.97891241,45762546.949135005,49987998.5719526,6446402.428326887,5187579.406642905,10317333.838592792,21951315.673562586,16.837754144337033
Global,2033,measles1,historical_progress,129738292,34451426.3008339,45540938.08513772,49745927.61402839,3761087.9025446787,1339962.3081438255,6530068.251968515,11631118.46265702,8.965062113394415
Global,2033,measles1,static,129738292,34451426.3008339,45540938.08513772,49745927.61402839,6885204.065222851,5839390.794039902,10929217.03178659,23653811.891049344,18.23194334256331
Global,2034,DTP1,historical_progress,130698170.5,34936996.714067556,46182807.94364377,49578365.84228869,2598105.517599799,461828.0794364381,4825287.526400883,7885221.12343712,6.03315340472736
Global,2034,DTP1,static,130698170.5,34936996.714067556,46182807.94364377,49578365.84228869,4720484.661443619,2664248.4553024815,7762401.216026197,15147134.332772298,11.58940042911488
Global,2034,DTP3,historical_progress,130698170.5,34936996.714067556,46182807.94364377,49578365.84228869,3152426.9222919103,461828.0794364381,5592400.693195801,9206655.69492415,7.044211605796081
Global,2034,DTP3,static,130698170.5,34936996.714067556,46182807.94364377,49578365.84228869,6505603.055830064,5235219.615194938,10232787.19251987,21973609.863544874,16.81248465795845
