country,vaccine,year,urban_rate,recent_year,recent_coverage_value,intercept,slope,projected_coverage,urban non-poor_proportion_of_children_percent,urban poor_proportion_of_children_percent,rural_proportion_of_children_percent,urban non-poor_zero_dose_percent,urban poor_zero_dose_percent,rural_zero_dose_percent,rural_proportion,urban poor_adjusted,urban non-poor_adjusted,avg_projected_coverage,urban_poor_coverage,urban_nonpoor_coverage,rural_coverage,method
Pakistan,DTP3,2044,0.48401,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,51.599000000000004,19.69808139534884,28.702918604651163,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2045,0.49027,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,50.973,19.952848837209306,29.0741511627907,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2046,0.49661999999999995,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,50.33800000000001,20.211279069767443,29.450720930232556,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2047,0.5029699999999999,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,49.70300000000001,20.469709302325583,29.827290697674417,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2048,0.50932,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,49.068,20.728139534883724,30.203860465116282,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2049,0.51567,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,48.43300000000001,20.986569767441864,30.58043023255814,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,DTP3,2050,0.5220199999999999,2023,0.86,1.2165892311257476,0.04406377564718583,0.86,0.204,0.14,0.657,0.043,0.132,0.166,47.79800000000001,21.245,30.956999999999997,86,86.42955889061534,95.29157587363926,83.04406925665116,static
Pakistan,measles1,2023,0.38090799999999997,2023,0.84,1.3080421776461981,0.05107512368969695,0.84,0.204,0.14,0.657,0.043,0.132,0.166,61.909200000000006,15.502069767441862,22.588730232558138,84,84.41956914897314,93.07549271378718,81.11281183207787,static
Pakistan,measles1,2024,0.383994,2023,0.84,1.3080421776461981,0.05107512368969695,0.84,0.204,0.14,0.657,0.043,0.132,0.166,61.6006,15.627662790697679,22.771737209302326,84,84.41956914897314,93.07549271378718,81.11281183207787,static
Pakistan,measles1,2025,0.38708,2023,0.84,1.3080421776461981,0.05107512368969695,0.84,0.204,0.14,0.657,0.043,0.132,0.166,61.292,15.75325581395349,22.95474418604651,84,84.41956914897314,93.07549271378718,81.11281183207787,static
